1	1
2	2
2	3
2	4
2	5
3	6
3	7
4	8
4	9
4	10
4	11
4	12
5	13
5	14
5	15
5	16
5	17
5	18
6	2
6	3
6	4
6	5
7	19
8	20
9	21
10	22
11	22
12	23
13	24
13	25
13	26
13	27
13	28
14	29
14	9
14	30
15	6
15	31
15	7
16	32
17	33
17	34
18	10
19	35
20	36
20	37
21	38
21	39
21	40
22	41
23	42
24	43
24	16
24	6
24	7
25	20
26	44
26	45
26	46
27	47
28	48
28	9
28	36
29	49
29	50
29	6
29	31
29	51
29	7
30	14
30	17
31	52
32	53
33	54
33	55
34	56
35	39
35	57
36	58
37	58
38	59
38	19
39	42
40	60
40	61
40	49
40	8
40	9
40	26
40	10
40	62
40	12
40	63
40	64
40	65
40	66
41	67
42	68
43	69
43	70
44	52
45	71
46	72
46	73
47	74
48	75
48	76
48	77
49	78
49	23
49	79
49	38
49	41
49	80
49	81
49	66
49	82
50	21
51	83
51	84
51	85
51	9
51	38
51	86
51	87
51	88
52	79
53	44
53	45
54	6
54	89
54	7
55	15
55	16
55	6
55	90
55	7
56	9
56	91
57	11
58	92
58	93
58	94
59	8
60	95
60	39
60	57
61	6
61	7
62	96
62	97
62	98
62	99
63	100
63	6
63	7
64	101
64	102
64	103
65	42
65	104
66	105
67	100
67	106
67	107
67	7
68	95
68	39
69	108
70	69
70	70
71	44
71	45
72	109
72	110
72	111
72	112
72	113
72	114
72	115
73	116
74	117
74	7
75	100
75	106
75	107
75	7
76	100
76	106
76	107
76	7
77	118
77	119
78	39
79	8
80	44
80	45
80	46
80	79
80	120
81	121
81	43
81	46
81	15
81	16
81	6
81	89
81	90
81	122
81	7
82	9
83	9
84	52
84	37
84	94
85	123
85	124
85	125
85	126
85	37
85	127
86	128
86	129
86	42
86	130
86	131
87	8
87	10
88	9
89	132
90	133
90	8
90	9
90	10
90	12
91	89
91	134
91	135
92	6
92	7
93	54
93	136
93	137
93	42
93	105
93	138
94	139
94	15
94	16
94	6
94	89
94	51
94	7
95	123
95	84
95	140
95	141
95	19
95	88
96	95
96	39
96	57
96	141
97	142
97	143
97	42
97	144
98	145
98	109
98	110
98	111
98	42
98	116
98	114
99	100
99	6
99	7
100	56
100	6
100	7
101	146
102	44
102	91
103	147
103	61
103	148
103	9
103	129
103	62
103	12
103	63
103	149
103	64
104	1
104	72
105	9
106	81
107	121
107	46
107	15
107	16
107	6
107	90
107	7
108	8
108	19
109	2
109	3
109	4
109	5
110	6
110	7
111	9
112	24
112	79
112	27
113	61
113	9
113	62
113	12
113	63
113	64
114	44
115	150
115	97
116	101
116	151
116	94
116	73
117	44
117	8
117	79
117	76
117	91
118	151
119	142
119	143
119	109
119	42
119	116
119	152
119	144
119	153
119	115
120	1
120	154
120	155
120	156
120	157
120	59
120	37
120	158
120	159
121	34
121	160
121	161
121	162
122	110
122	163
122	42
122	38
122	76
123	72
123	120
124	97
124	99
125	111
126	164
127	165
128	59
128	37
129	166
129	61
129	167
129	168
129	62
129	12
129	63
129	37
129	141
129	19
129	64
130	56
130	52
130	83
130	169
130	48
130	6
130	9
130	170
130	7
130	141
131	49
131	171
131	65
132	150
132	172
133	19
134	9
134	11
135	8
135	11
135	12
136	173
137	24
137	54
137	174
137	175
137	105
137	176
137	177
138	44
138	45
138	120
139	178
140	8
141	29
141	83
141	9
141	10
141	179
142	41
142	66
143	180
143	181
143	182
143	183
143	67
143	10
143	184
143	19
143	185
144	128
144	109
144	129
144	186
144	110
144	111
144	42
144	114
145	109
145	112
145	113
145	42
145	152
145	187
146	188
146	15
146	16
146	189
147	49
147	83
147	190
147	191
147	192
147	193
147	171
147	38
147	86
147	65
148	128
148	111
148	42
149	128
149	32
149	186
149	111
149	42
150	75
150	77
151	6
151	9
151	7
152	52
152	9
153	194
153	195
153	196
153	197
153	198
154	188
154	199
154	177
155	23
156	23
157	44
157	97
157	128
157	15
157	98
157	23
157	16
157	8
157	200
157	42
157	104
157	91
157	81
157	189
157	66
157	82
158	201
158	202
158	203
158	118
158	157
158	204
158	205
159	52
159	133
160	8
160	11
161	83
161	14
161	206
162	9
163	207
163	61
163	208
163	9
163	26
163	62
163	12
163	63
163	64
164	15
164	151
165	93
165	94
166	42
167	61
167	9
167	62
167	12
167	63
167	64
168	209
168	56
169	11
170	8
170	10
170	184
171	89
171	210
172	209
172	56
172	6
172	51
172	7
173	211
174	8
174	67
174	212
174	11
175	8
175	206
176	100
176	106
176	107
176	7
177	65
178	47
179	1
180	10
180	184
181	54
